,town,population,med_enrollment,med_pct,husky_enrollment,husky_pct,husky_share,median_age
0,Andover,3272.0,395.0,12.0721271394,226.0,6.90709046455,57.2151898734,43.0
1,Ansonia,18959.0,6099.0,32.1694182183,3810.0,20.0959966243,62.4692572553,40.8
2,Ashford,4259.0,888.0,20.8499647805,562.0,13.1955858183,63.2882882883,41.1
3,Avon,18421.0,1208.0,6.55773302209,512.0,2.77943651268,42.3841059603,45.8
4,Barkhamsted,3705.0,483.0,13.036437247,283.0,7.6383265857,58.5921325052,44.7
5,Beacon Falls,6055.0,805.0,13.2947976879,431.0,7.11808422791,53.5403726708,43.0
6,Berlin,20610.0,2363.0,11.4653081029,1123.0,5.44881125667,47.5243334744,45.7
7,Bethany,5531.0,419.0,7.57548363768,181.0,3.27246429217,43.1980906921,44.6
8,Bethel,19372.0,2731.0,14.0976667355,1596.0,8.23869502375,58.4401318198,42.3
9,Bethlehem,3501.0,481.0,13.7389317338,278.0,7.94058840331,57.7962577963,48.9
10,Bloomfield,20819.0,4894.0,23.5073730727,2185.0,10.4952207118,44.6465059256,48.2
11,Bolton,4952.0,532.0,10.7431340872,300.0,6.05815831987,56.3909774436,47.2
12,Bozrah,2622.0,441.0,16.819221968,225.0,8.58123569794,51.0204081633,46.5
13,Branford,28225.0,4522.0,16.0212577502,2132.0,7.55358724535,47.1472799646,48.0
14,Bridgeport,147612.0,66854.0,45.2903557976,40457.0,27.4076633336,60.5154515811,32.3
15,Bridgewater,1675.0,121.0,7.22388059701,59.0,3.5223880597,48.7603305785,52.3
16,Bristol,60570.0,16295.0,26.9027571405,9528.0,15.730559683,58.471923903,41.4
17,Brookfield,17055.0,1728.0,10.1319261214,984.0,5.76956904134,56.9444444444,44.6
18,Brooklyn,8254.0,1763.0,21.3593409256,934.0,11.3157257087,52.977878616,42.3
19,Burlington,9576.0,738.0,7.70676691729,465.0,4.85588972431,63.0081300813,42.4
20,Canaan,1195.0,760.0,63.5983263598,393.0,32.8870292887,51.7105263158,51.4
21,Canterbury,5088.0,930.0,18.2783018868,586.0,11.5172955975,63.0107526882,43.4
22,Canton,10345.0,992.0,9.58917351377,471.0,4.55292411793,47.4798387097,45.2
23,Chaplin,2262.0,478.0,21.1317418214,276.0,12.2015915119,57.7405857741,42.8
24,Cheshire,29250.0,2504.0,8.56068376068,1088.0,3.71965811966,43.4504792332,42.9
25,Chester,4316.0,599.0,13.8785912882,245.0,5.6765523633,40.9015025042,50.9
26,Clinton,13129.0,2170.0,16.5282961383,1188.0,9.04867088126,54.7465437788,44.2
27,Colchester,16192.0,2543.0,15.7052865613,1399.0,8.64006916996,55.0137632717,39.2
28,Colebrook,1445.0,88.0,6.08996539792,51.0,3.52941176471,57.9545454545,47.5
29,Columbia,5454.0,643.0,11.7895122846,337.0,6.17895122846,52.4105754277,48.0
30,Cornwall,1398.0,242.0,17.3104434907,169.0,12.0886981402,69.8347107438,50.8
31,Coventry,12419.0,1670.0,13.4471374507,999.0,8.04412593607,59.8203592814,44.7
32,Cromwell,14113.0,2027.0,14.3626443704,976.0,6.91560972153,48.149975333,44.5
33,Danbury,83784.0,20632.0,24.6252267736,13394.0,15.9863458417,64.9185730903,36.8
34,Darien,21689.0,807.0,3.72078011895,455.0,2.09783761354,56.3816604709,39.1
35,Deep River,4571.0,718.0,15.707722599,366.0,8.00700065631,50.9749303621,46.4
36,Derby,12768.0,3747.0,29.3468045113,2192.0,17.1679197995,58.5001334401,41.4
37,Durham,7348.0,574.0,7.81164942842,300.0,4.0827436037,52.2648083624,43.8
38,East Granby,5212.0,534.0,10.2455871067,328.0,6.2931696086,61.4232209738,43.1
39,East Haddam,9127.0,1098.0,12.0302399474,564.0,6.17946751397,51.3661202186,43.2
40,East Hampton,12874.0,1667.0,12.9485785304,869.0,6.75003883797,52.1295740852,42.1
41,East Hartford,51033.0,19261.0,37.7422452139,11487.0,22.5089647875,59.6386480453,38.8
42,East Haven,29044.0,7116.0,24.5007574714,3720.0,12.8081531469,52.2765598651,43.0
43,East Lyme,19140.0,2349.0,12.2727272727,1283.0,6.70323928945,54.6189868029,45.8
44,East Windsor,11423.0,2380.0,20.8351571391,1295.0,11.3367766786,54.4117647059,40.8
45,Eastford,1734.0,212.0,12.2260668973,123.0,7.09342560554,58.0188679245,46.1
46,Easton,7631.0,477.0,6.25081902765,260.0,3.40715502555,54.5073375262,46.9
47,Ellington,15795.0,1652.0,10.4590060146,966.0,6.11585944919,58.4745762712,40.1
48,Enfield,44626.0,8014.0,17.958140994,4649.0,10.4176937211,58.0109807836,40.9
49,Essex,6612.0,720.0,10.889292196,345.0,5.21778584392,47.9166666667,52.6
50,Fairfield,61347.0,5717.0,9.31911910933,2811.0,4.58213115556,49.1691446563,40.7
51,Farmington,25627.0,2726.0,10.6372185586,1193.0,4.65524641979,43.7637564197,43.4
52,Franklin,1984.0,259.0,13.0544354839,124.0,6.25,47.8764478764,45.1
53,Glastonbury,34754.0,2918.0,8.39615583818,1512.0,4.35057835069,51.8163125428,43.9
54,Goshen,2914.0,326.0,11.1873713109,193.0,6.62319835278,59.2024539877,51.3
55,Granby,11310.0,929.0,8.21396993811,517.0,4.57117595049,55.6512378902,46.7
56,Greenwich,62610.0,5423.0,8.66155566203,2909.0,4.64622264814,53.6418956297,42.1
57,Griswold,11916.0,3012.0,25.27693857,1895.0,15.9029875797,62.9150066401,37.3
58,Groton,40167.0,6795.0,16.9168720592,4008.0,9.97834042871,58.9845474614,32.4
59,Guilford,22413.0,2084.0,9.2981751662,960.0,4.28322848347,46.0652591171,48.0
60,Haddam,8333.0,794.0,9.52838113525,438.0,5.25621024841,55.1637279597,44.8
61,Hamden,61422.0,11521.0,18.757122855,5987.0,9.74732180652,51.9659751758,37.9
62,Hampton,1859.0,364.0,19.5804195804,216.0,11.6191500807,59.3406593407,46.1
63,Hartford,124705.0,71755.0,57.5397939136,39917.0,32.0091415741,55.6295728521,30.1
64,Hartland,2129.0,205.0,9.62893377172,114.0,5.35462658525,55.6097560976,45.8
65,Harwinton,5531.0,662.0,11.9689025493,404.0,7.30428493943,61.0271903323,46.8
66,Hebron,9564.0,859.0,8.98159765788,487.0,5.09201171058,56.6938300349,42.6
67,Kent,2910.0,477.0,16.3917525773,213.0,7.31958762887,44.6540880503,45.7
68,Killingly,17172.0,5363.0,31.2310738411,2928.0,17.0510132774,54.5963080365,41.4
69,Killingworth,6490.0,475.0,7.31895223421,236.0,3.63636363636,49.6842105263,48.5
70,Lebanon,7309.0,1190.0,16.2812970311,570.0,7.79860446025,47.8991596639,45.9
71,Ledyard,15121.0,2192.0,14.496395741,1405.0,9.29171351101,64.0967153285,41.4
72,Lisbon,4342.0,673.0,15.4997696914,366.0,8.42929525564,54.3833580981,43.8
73,Litchfield,8264.0,1182.0,14.3030009681,567.0,6.86108422072,47.9695431472,47.3
74,Lyme,2389.0,204.0,8.53913771452,107.0,4.4788614483,52.4509803922,53.4
75,Madison,18259.0,1327.0,7.26764883071,639.0,3.49964401117,48.1537302185,46.9
76,Manchester,58106.0,16239.0,27.9471999449,9308.0,16.0189997591,57.3188004187,35.8
77,Mansfield,25977.0,1762.0,6.78292335528,936.0,3.60318743504,53.1214528944,21.1
78,Marlborough,6430.0,636.0,9.89113530327,326.0,5.0699844479,51.2578616352,44.6
79,Meriden,60293.0,22091.0,36.6394108769,13079.0,21.6924021031,59.2051061518,39.3
80,Middlebury,7591.0,756.0,9.95916216572,345.0,4.54485575023,45.6349206349,44.7
81,Middlefield,4424.0,458.0,10.3526220615,214.0,4.83725135624,46.7248908297,45.3
